time,delta,seconds_remaining,replicated_game_state_time_remaining,is_overtime,ball_has_been_hit
215.90907,0.034722798,147,,,1
215.94379,0.034722902,147,,,1
215.97865,0.0348674,147,,,1
216.01337,0.034722902,147,,,1
216.04808,0.0347229,147,,,1
216.0828,0.034723002,147,,,1
216.11751,0.034722798,147,,,1
216.15222,0.0347232,147,,,1
216.18694,0.0347231,147,,,1
216.22165,0.034723002,147,3,,1
216.25636,0.034723,147,3,,1
216.29108,0.034722902,147,3,,1
216.32579,0.034722798,147,3,,1
216.3605,0.0347228,147,3,,1
216.39522,0.034723,147,3,,1
216.42993,0.034722902,147,3,,1
216.46465,0.0347231,147,3,,1
216.49936,0.0347229,147,3,,1
216.53407,0.034722902,147,3,,1
216.56879,0.034723,147,3,,1
216.6035,0.0347232,147,3,,1
216.63821,0.0347228,147,3,,1
216.67293,0.0347229,147,3,,1
216.70764,0.034722902,147,3,,1
216.74236,0.034723,147,3,,1
216.77707,0.0347231,147,3,,1
216.81178,0.0347227,147,3,,1
216.8465,0.034723002,147,3,,1
216.88121,0.0347229,147,3,,1
216.91592,0.034723,147,3,,1
216.95064,0.0347227,147,3,,1
216.98535,0.0347227,147,3,,1
217.02007,0.034723,147,3,,1
217.05478,0.034723103,147,3,,1
217.0895,0.0347231,147,3,,1
217.1242,0.0347227,147,3,,1
217.15892,0.034722798,147,3,,1
217.19363,0.034723002,147,3,,1
217.22835,0.034722697,147,3,,1
217.26306,0.0347245,147,3,,1
217.29778,0.0347226,147,3,,1
217.33249,0.0347228,147,3,,1
217.3672,0.0347229,147,3,,1
217.40192,0.034723002,147,3,,1
217.4375,0.0355962,147,3,,1
217.47221,0.034723,147,3,,1
217.50693,0.0347232,147,3,,1
217.54164,0.0347227,147,3,,1
217.57635,0.0347231,147,3,,1
217.61107,0.034722902,147,3,,1
217.64578,0.034722798,147,3,,1
217.6805,0.034722902,147,3,,1
217.71521,0.034723,147,3,,1
217.74992,0.0347228,147,3,,1
217.78464,0.0347228,147,3,,1
217.81935,0.0347229,147,3,,1
217.85406,0.0347231,147,3,,1
217.88878,0.034723002,147,3,,1
217.9235,0.034722697,147,3,,1
217.9582,0.034722902,147,3,,1
217.99292,0.0347228,147,3,,1
218.02763,0.034723,147,3,,1
218.06235,0.0347228,147,3,,1
218.09706,0.034723,147,3,,1
218.13177,0.0347231,147,3,,1
218.16649,0.034722902,147,3,,1
218.2012,0.0347229,147,3,,1
218.23592,0.0347227,147,3,,1
218.27063,0.0347229,147,3,,1
218.30534,0.0347227,147,3,,1
218.34006,0.034722902,147,3,,1
218.37477,0.034722798,147,3,,1
218.40948,0.0347228,147,3,,1
218.4442,0.0347229,147,3,,1
218.47891,0.0347227,147,3,,1
218.51363,0.034722902,147,3,,1
218.54834,0.034722798,147,3,,1
218.58305,0.034722902,147,3,,1
218.61777,0.0347229,147,3,,1
218.65248,0.0347228,147,3,,1
218.6872,0.034722902,147,3,,1
218.72191,0.034722798,147,3,,1
218.75662,0.034722902,147,3,,1
218.79134,0.0347229,147,3,,1
218.82605,0.034723002,147,3,,1
218.86076,0.0347229,147,3,,1
218.89548,0.034722902,147,3,,1
218.93019,0.034722798,147,3,,1
218.9649,0.034722902,147,3,,1
218.99962,0.0347225,147,3,,1
219.03433,0.0347229,147,3,,1
219.06905,0.034723002,147,3,,1
219.10376,0.0347229,147,3,,1
219.13847,0.0347227,147,3,,1
219.17355,0.0350765,147,0,,0
219.20827,0.0347231,147,0,,0
219.24298,0.0347234,147,0,,0
219.2777,0.0347231,147,0,,0
219.31241,0.0347228,147,0,,0
219.34712,0.0347231,147,0,,0
219.38184,0.0347227,147,0,,0
219.41655,0.0347232,147,0,,0
219.45126,0.0347228,147,0,,0
219.48598,0.034722798,147,0,,0
219.52069,0.034723002,147,0,,0
219.5554,0.0347232,147,0,,0
219.59012,0.034723,147,0,,0
219.62483,0.0347227,147,0,,0
219.65955,0.0347229,147,0,,0
219.69426,0.0347228,147,0,,0
219.72902,0.0347711,147,0,,0
219.76373,0.034723,147,0,,0
219.79845,0.0347228,147,0,,0
219.83316,0.034723,147,0,,0
219.86787,0.0347231,147,0,,0
219.90259,0.0347228,147,0,,0
219.9373,0.0347227,147,0,,0
219.97202,0.0347226,147,0,,0
220.00674,0.0347369,147,0,,0
220.04147,0.0347339,147,0,,0
220.07619,0.0347231,147,0,,0
220.1109,0.034723,147,0,,0
220.14561,0.0347234,147,0,,0
220.18033,0.034722902,147,0,,0
220.21504,0.0347232,147,0,,0
220.25052,0.0354882,147,0,,0
220.28523,0.034722798,147,0,,0
220.31995,0.034723002,147,0,,0
220.35466,0.034722798,147,0,,0
220.38937,0.034723002,147,0,,0
220.42409,0.0347231,147,0,,0
220.4588,0.0347228,147,0,,0
220.49353,0.034739498,147,0,,0
220.52824,0.034723,147,0,,0
220.56296,0.0347226,147,0,,0
220.59767,0.034723002,147,0,,0
220.63239,0.034722798,147,0,,0
220.6671,0.034722902,147,0,,0
220.70181,0.034723,147,0,,0
220.73653,0.0347228,147,0,,0
220.77124,0.0347227,147,0,,0
220.80595,0.0347231,147,0,,0
220.84067,0.0347233,147,0,,0
220.87538,0.034722798,147,0,,0
220.9101,0.034723103,147,0,,0
220.94481,0.034723,147,0,,0
220.97952,0.034722798,147,0,,0
221.01424,0.0347228,147,0,,0
221.04895,0.034722902,147,0,,0
221.08366,0.034723,147,0,,0
221.11838,0.0347231,147,0,,0
221.15309,0.0347231,147,0,,0
221.1878,0.034723002,147,0,,0
221.22252,0.034723,147,0,,0
221.25723,0.0347227,147,0,,0
221.29195,0.0347229,147,0,,0
221.32666,0.0347227,147,0,,0
221.36137,0.034722902,147,0,,0
221.39609,0.034723,147,0,,1
221.4308,0.0347227,147,0,,1
221.46552,0.034722798,147,0,,1
221.50023,0.034722902,147,0,,1
221.53494,0.034723,147,0,,1
221.56966,0.034722902,147,0,,1
221.60437,0.034722798,147,0,,1
221.63908,0.034722902,147,0,,1
221.6738,0.034723,147,0,,1
221.70851,0.034722902,147,0,,1
221.74323,0.034724,147,0,,1
221.77794,0.034723,147,0,,1
221.81265,0.034722798,147,0,,1
221.84737,0.034722902,147,0,,1
221.88208,0.0347232,146,0,,1
221.9168,0.034723,146,0,,1
221.9515,0.0347226,146,0,,1
221.98622,0.034722902,146,0,,1
222.02094,0.0347229,146,0,,1
222.05565,0.0347227,146,0,,1
222.09036,0.034722902,146,0,,1
222.12508,0.034722798,146,0,,1
222.15979,0.0347228,146,0,,1
222.1945,0.0347228,146,0,,1
222.22922,0.034722697,146,0,,1
222.26393,0.034723103,146,0,,1
